"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Handball 17 (Foil)","0","0","7","0","40.92","40.92","5.85","0.23","96.1","0.36","0.36","1","0.31","2021-01-27","526980"
"Handball 17","0","0","7","0","0.81","0.81","0.12","0.23","-91.7","0.36","0.36","17","0.31","2021-01-27","526980"
"Mahjong (Foil)","0","0","7","0","260.24","260.24","37.18","0.13","99.7","0.69","1.89","1","0.44","2021-01-27","539270"
"Planet Stronghold 2 (Foil)","0","0","9","0","211.46","211.46","23.50","N/A","0.0","0.41","0.41","1","0.52","2021-01-27","857200"
"Tetraminos (Foil)","0","0","7","0","158.74","158.74","22.68","N/A","0.0","0.63","1.19","2","0.39","2021-01-27","539280"
"Solitaire (Foil)","0","0","6","0","113.52","113.52","18.92","N/A","0.0","5.76","0.61","1","0.26","2021-01-27","539300"
"Brick Breaker (Foil)","0","0","6","0","68.39","68.39","11.40","N/A","0.0","0.24","0.81","2","0.34","2021-01-27","539290"
"Out of the Park Baseball 21 (Foil)","0","0","7","0","11.29","11.29","1.61","0.07","95.7","3.13","0.23","6","0.16","2021-01-27","1087280"
"Mahjong","0","0","7","0","1.16","1.16","0.17","0.13","23.5","0.69","1.89","17","0.44","2021-01-27","539270"
"Planet Stronghold 2","0","0","9","0","1.36","1.36","0.15","N/A","0.0","0.41","0.41","17","0.52","2021-01-27","857200"
"Tetraminos","0","0","7","0","1.03","1.03","0.15","N/A","0.0","0.63","1.19","16","0.39","2021-01-27","539280"
"Brick Breaker","0","0","6","0","0.80","0.80","0.13","N/A","0.0","0.24","0.81","20","0.34","2021-01-27","539290"
"Solitaire","0","0","6","0","0.61","0.61","0.10","N/A","0.0","5.76","0.61","18","0.26","2021-01-27","539300"
"Out of the Park Baseball 21","0","0","7","0","0.44","0.44","0.06","0.07","-16.7","3.13","0.23","208","0.16","2021-01-27","1087280"
"Gemini Strategy Origin (Foil)","0","0","6","0","213.57","213.57","35.59","N/A","0.0","0.54","77.65","1","0.31","2021-01-27","1361180"
"恋野迷踪 ~ Koishi's LUMO (Foil)","0","0","15","0","242.80","242.80","16.19","0.12","99.3","0.58","4.06","3","0.91","2021-01-27","1231290"
"恋野迷踪 ~ Koishi's LUMO","0","0","15","0","2.31","2.31","0.15","0.12","20.0","0.58","4.06","35","0.91","2021-01-27","1231290"
"Gemini Strategy Origin","0","0","6","0","0.73","0.73","0.12","N/A","0.0","0.54","77.65","14","0.31","2021-01-27","1361180"
"TOHU (Foil)","0","0","9","0","34.29","34.29","3.81","0.44","88.5","0.29","0.40","1","0.66","2021-01-26","1075200"
"TOHU","0","0","9","0","1.68","1.68","0.19","0.44","-131.6","0.29","0.40","15","0.66","2021-01-26","1075200"
"Drug Dealer Simulator (Foil)","0","0","9","0","5.14","5.14","0.57","0.08","86.0","0.28","0.05","28","0.35","2021-01-25","682990"
"Brothers - A Tale of Two Sons (Foil)","0","0","6","0","0.70","0.70","0.12","0.04","66.7","0.04","0.04","64","0.16","2021-01-25","225080"
"Drug Dealer Simulator","0","0","9","0","0.88","0.88","0.10","0.08","20.0","0.28","0.05","137","0.35","2021-01-25","682990"
"Brothers - A Tale of Two Sons","0","0","6","0","0.35","0.35","0.06","0.04","33.3","0.04","0.04","1218","0.16","2021-01-25","225080"
"Don't Be Afraid (Foil)","0","0","9","0","447.89","447.89","49.77","1.67","96.6","0.19","104.54","1","0.52","2021-01-24","760410"
"Don't Be Afraid","0","0","9","0","1.32","1.32","0.15","1.67","-1,013.3","0.19","104.54","21","0.52","2021-01-24","760410"
"QT (Foil)","0","0","7","0","147.69","147.69","21.10","0.29","98.6","4.46","2.20","2","0.39","2021-01-23","1182830"
"QT","0","0","7","0","1.03","1.03","0.15","0.29","-93.3","4.46","2.20","24","0.39","2021-01-23","1182830"
"Red Embrace (Foil)","0","0","6","0","83.88","83.88","13.98","N/A","0.0","2.39","2.93","1","0.42","2021-01-22","796940"
"Red Embrace","0","0","6","0","0.96","0.96","0.16","N/A","0.0","2.39","2.93","28","0.42","2021-01-22","796940"
"Kind Words (Foil)","0","0","8","0","9.45","9.45","1.18","0.08","93.2","0.18","0.07","15","0.31","2021-01-22","1070710"
"Kind Words","0","0","8","0","0.75","0.75","0.09","0.08","11.1","0.18","0.07","104","0.31","2021-01-22","1070710"
"Wanderlust: Travel Stories (Foil)","0","0","6","0","141.50","141.50","23.58","1.03","95.6","0.36","2.30","1","1.02","2021-01-21","1051410"
"Wanderlust: Travel Stories","0","0","6","0","2.35","2.35","0.39","1.03","-164.1","0.36","2.30","11","1.02","2021-01-21","1051410"
"Idling to Rule the Gods (Foil)","0","0","9","0","270.86","270.86","30.09","0.47","98.4","0.64","0.81","1","0.38","2021-01-21","466170"
"Skul: The Hero Slayer (Foil)","0","0","16","0","5.79","5.79","0.36","0.05","86.1","0.10","0.05","41","0.35","2021-01-21","1147560"
"Idling to Rule the Gods","0","0","9","0","1.02","1.02","0.11","0.47","-327.3","0.64","0.81","44","0.38","2021-01-21","466170"
"Skul: The Hero Slayer","0","0","16","0","0.83","0.83","0.05","0.05","0.0","0.10","0.05","484","0.35","2021-01-21","1147560"
"AudioTheory Guitars (Foil)","0","0","11","0","1,280.55","1,280.55","116.41","N/A","0.0","0.28","0.00","1","0.61","2021-01-19","1176110"
"AudioTheory Guitars","0","0","11","0","1.56","1.56","0.14","N/A","0.0","0.28","0.00","18","0.61","2021-01-19","1176110"
"Sakura Succubus 3 (Foil)","0","0","6","0","69.68","69.68","11.61","0.41","96.5","0.22","2.28","3","0.55","2021-01-18","1406020"
"Sakura Succubus 3","0","0","6","0","1.24","1.24","0.21","0.41","-95.2","0.22","2.28","30","0.55","2021-01-18","1406020"
"Against The Moon (Foil)","0","0","9","0","154.68","154.68","17.19","N/A","0.0","0.23","0.00","2","0.09","2021-01-18","1039480"
"Against The Moon","0","0","9","0","0.48","0.48","0.05","N/A","0.0","0.23","0.00","10","0.09","2021-01-18","1039480"
"Love of Magic (Foil)","0","0","8","0","283.89","283.89","35.49","0.27","99.2","0.51","1.29","1","0.31","2021-01-18","1270210"
"Love of Magic","0","0","8","0","0.71","0.71","0.09","0.27","-200.0","0.51","1.29","33","0.31","2021-01-18","1270210"
"Shovel Knight: King of Cards (Foil)","0","0","7","0","227.12","227.12","32.45","1.79","94.5","0.76","0.50","1","0.31","2021-01-16","1116780"
"Zero Hour (Foil)","0","0","6","0","6.30","6.30","1.05","0.09","91.4","0.50","1.20","11","0.23","2021-01-16","1359090"
"Shovel Knight: King of Cards","0","0","7","0","0.84","0.84","0.12","1.79","-1,391.7","0.76","0.50","28","0.31","2021-01-16","1116780"
"Zero Hour","0","0","6","0","0.55","0.55","0.09","0.09","0.0","0.50","1.20","78","0.23","2021-01-16","1359090"
"Summer Memories (Foil)","0","0","6","0","14.20","14.20","2.37","0.18","92.4","1.33","1.51","13","0.42","2021-01-14","1227890"
"Summer Memories","0","0","6","0","0.97","0.97","0.16","0.18","-12.5","1.33","1.51","232","0.42","2021-01-14","1227890"
"Unlasting Horror (Foil)","0","0","6","0","250.68","250.68","41.78","N/A","0.0","25.64","241.34","1","0.44","2021-01-14","604230"
"Third Crisis (Foil)","0","0","7","0","43.40","43.40","6.20","0.20","96.8","3.64","2.07","3","0.52","2021-01-14","1260820"
"Idle Slayer (Foil)","0","0","6","0","26.95","26.95","4.49","0.26","94.2","0.20","0.14","5","0.31","2021-01-14","1353300"
"Third Crisis","0","0","7","0","1.38","1.38","0.20","0.20","0.0","3.64","2.07","38","0.52","2021-01-14","1260820"
"Unlasting Horror","0","0","6","0","1.01","1.01","0.17","N/A","0.0","25.64","241.34","12","0.44","2021-01-14","604230"
"Idle Slayer","0","0","6","0","0.74","0.74","0.12","0.26","-116.7","0.20","0.14","50","0.31","2021-01-14","1353300"
"Project Winter (Foil)","0","0","13","0","1.18","1.18","0.09","0.04","55.6","0.05","0.06","47","0.42","2021-01-13","774861"
"Project Winter","0","0","13","0","1.05","1.05","0.08","0.04","50.0","0.05","0.06","499","0.42","2021-01-13","774861"
"Frontline: Panzer Blitzkrieg! (Foil)","0","0","15","0","530.44","530.44","35.36","N/A","0.0","0.19","0.55","1","0.61","2021-01-13","1238330"
"眼中的世界 - Conviction - (Foil)","0","0","11","0","315.84","315.84","28.71","N/A","0.0","0.00","0.00","1","1.35","2021-01-13","811070"
"眼中的世界 - Conviction -","0","0","11","0","3.44","3.44","0.31","N/A","0.0","0.00","0.00","20","1.35","2021-01-13","811070"
"Frontline: Panzer Blitzkrieg!","0","0","15","0","1.52","1.52","0.10","N/A","0.0","0.19","0.55","17","0.61","2021-01-13","1238330"
"Spirit Island (Foil)","0","0","11","0","459.58","459.58","41.78","0.39","99.1","0.19","1.40","1","0.57","2021-01-12","1236720"
"Spirit Island","0","0","11","0","1.45","1.45","0.13","0.39","-200.0","0.19","1.40","20","0.57","2021-01-12","1236720"
"Yaga (Foil)","0","0","14","0","216.06","216.06","15.43","0.08","99.5","0.70","0.23","2","0.49","2021-01-11","888530"
"Sanator: Scarlet Scarf (Foil)","0","0","7","0","68.06","68.06","9.72","0.18","98.1","0.57","2.84","2","0.37","2021-01-11","650330"
"Sanator: Scarlet Scarf","0","0","7","0","1.01","1.01","0.14","0.18","-28.6","0.57","2.84","30","0.37","2021-01-11","650330"
"Yaga","0","0","14","0","1.18","1.18","0.08","0.08","0.0","0.70","0.23","26","0.49","2021-01-11","888530"
"The Last Sin (Foil)","0","0","11","0","91.56","91.56","8.32","0.03","99.6","0.15","0.10","5","0.22","2021-01-11","550370"
"Arcana: Heat and Cold. Season 1 (Foil)","0","0","7","0","19.33","19.33","2.76","0.18","93.5","1.19","0.66","2","0.37","2021-01-11","1357830"
"Arcana: Heat and Cold. Season 1","0","0","7","0","0.98","0.98","0.14","0.18","-28.6","1.19","0.66","19","0.37","2021-01-11","1357830"
"The Last Sin","0","0","11","0","0.54","0.54","0.05","0.03","40.0","0.15","0.10","65","0.22","2021-01-11","550370"
"Resequenced (Foil)","0","0","11","0","275.88","275.88","25.08","0.18","99.3","2.32","4.21","1","0.57","2021-01-09","845490"
"Riddle Joker (Foil)","0","0","11","0","77.51","77.51","7.05","0.12","98.3","0.34","1.10","9","0.52","2021-01-09","1277930"
"Resequenced","0","0","11","0","1.39","1.39","0.13","0.18","-38.5","2.32","4.21","23","0.57","2021-01-09","845490"
"Riddle Joker","0","0","11","0","1.28","1.28","0.12","0.12","0.0","0.34","1.10","71","0.52","2021-01-09","1277930"
"Spandex Force: Champion Rising (Foil)","0","0","6","0","0.66","0.66","0.11","0.04","63.6","0.04","0.03","10","0.18","2021-01-09","380560"
"Spandex Force: Champion Rising","0","0","6","0","0.44","0.44","0.07","0.04","42.9","0.04","0.03","693","0.18","2021-01-09","380560"
"Haven (Foil)","0","0","9","0","52.77","52.77","5.86","0.13","97.8","0.20","0.36","7","0.35","2021-01-07","983970"
"Haven","0","0","9","0","0.92","0.92","0.10","0.13","-30.0","0.20","0.36","63","0.35","2021-01-07","983970"
"WHAT THE GOLF? (Foil)","0","0","16","0","69.76","69.76","4.36","0.03","99.3","1.76","0.85","5","0.42","2021-01-07","785790"
"WHAT THE GOLF?","0","0","16","0","1.00","1.00","0.06","0.03","50.0","1.76","0.85","78","0.42","2021-01-07","785790"
"Seek Girl Ⅶ (Foil)","0","0","7","0","47.76","47.76","6.82","0.21","96.9","0.15","0.31","5","0.39","2021-01-06","1464930"
"Seek Girl Ⅶ","0","0","7","0","1.07","1.07","0.15","0.21","-40.0","0.15","0.31","59","0.39","2021-01-06","1464930"
"The Prism (Foil)","0","0","6","0","1.01","1.01","0.17","0.04","76.5","0.04","0.03","14","0.16","2021-01-06","399420"
"The Prism","0","0","6","0","0.37","0.37","0.06","0.04","33.3","0.04","0.03","1012","0.16","2021-01-06","399420"
"Sakura Knight 3 (Foil)","0","0","9","0","238.49","238.49","26.50","0.16","99.4","0.40","3.29","2","0.28","2021-01-04","1351370"
"Sakura Knight 3","0","0","9","0","0.71","0.71","0.08","0.16","-100.0","0.40","3.29","22","0.28","2021-01-04","1351370"
"Sky Battles (Foil)","0","0","6","0","1.73","1.73","0.29","0.04","86.2","0.19","0.04","10","0.18","2021-01-03","346670"
"Sky Battles","0","0","6","0","0.44","0.44","0.07","0.04","42.9","0.19","0.04","36","0.18","2021-01-03","346670"
"GLASS (Foil)","0","0","13","0","196.86","196.86","15.14","0.16","98.9","0.40","0.53","3","0.52","2021-01-01","1431570"
"GLASS","0","0","13","0","1.32","1.32","0.10","0.16","-60.0","0.40","0.53","32","0.52","2021-01-01","1431570"
"Danger Scavenger (Foil)","0","0","6","0","124.80","124.80","20.80","N/A","0.0","0.28","0.15","2","0.31","2020-12-31","1169740"
"Danger Scavenger","0","0","6","0","0.71","0.71","0.12","N/A","0.0","0.28","0.15","17","0.31","2020-12-31","1169740"
"Freedom Finger (Foil)","0","0","6","0","99.48","99.48","16.58","0.56","96.6","0.54","1.81","1","0.42","2020-12-31","1005410"
"Freedom Finger","0","0","6","0","0.96","0.96","0.16","0.56","-250.0","0.54","1.81","24","0.42","2020-12-31","1005410"
"Sakuya Izayoi Gives You Advice And Dabs (Foil)","0","0","6","0","9.29","9.29","1.55","0.17","89.0","0.35","0.09","7","0.29","2020-12-30","1232180"
"Sakuya Izayoi Gives You Advice And Dabs","0","0","6","0","0.67","0.67","0.11","0.17","-54.5","0.35","0.09","59","0.29","2020-12-30","1232180"
"~在魔界当女仆~恶魔天使与勇者的秘密喫茶店 (Foil)","0","0","6","0","156.00","156.00","26.00","0.33","98.7","1.69","4.84","3","0.47","2020-12-29","1377550"
"Nioh 2 – The Complete Edition (Foil)","0","0","16","0","18.31","18.31","1.14","0.12","89.5","0.89","0.69","30","0.83","2020-12-29","1325200"
"~在魔界当女仆~恶魔天使与勇者的秘密喫茶店","0","0","6","0","1.09","1.09","0.18","0.33","-83.3","1.69","4.84","24","0.47","2020-12-29","1377550"
"Nioh 2 – The Complete Edition","0","0","16","0","1.98","1.98","0.12","0.12","0.0","0.89","0.69","210","0.83","2020-12-29","1325200"
"Oxygen Not Included (Foil)","0","0","7","0","1.88","1.88","0.27","0.08","70.4","0.07","0.59","54","0.18","2020-12-28","457140"
"Oxygen Not Included","0","0","7","0","0.51","0.51","0.07","0.08","-14.3","0.07","0.59","1037","0.18","2020-12-28","457140"
"Griftlands (Foil)","0","0","7","0","1.90","1.90","0.27","0.06","77.8","0.08","0.17","28","0.16","2020-12-28","601840"
