"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Touhou Ibunseki - Ayaria Dawn: ReCreation (Foil)","0","0","10","0","14.45","14.45","1.44","0.14","90.3","0.30","1.34","9","0.43","2020-01-20","1138100"
"Touhou Ibunseki - Ayaria Dawn: ReCreation","0","0","10","0","0.96","0.96","0.10","0.14","-40.0","0.30","1.34","57","0.43","2020-01-20","1138100"
"Elsinore (Foil)","0","0","6","0","25.50","25.50","4.25","0.29","93.2","1.15","0.63","1","0.26","2020-01-18","512890"
"Elsinore","0","0","6","0","0.61","0.61","0.10","0.29","-190.0","1.15","0.63","29","0.26","2020-01-18","512890"
"Dark Hope: A Puzzle Adventure (Foil)","0","0","5","0","124.49","124.49","24.90","N/A","0.0","1.25","0.25","2","0.26","2020-01-17","620350"
"Dark Hope: A Puzzle Adventure","0","0","5","0","0.49","0.49","0.10","N/A","0.0","1.25","0.25","27","0.26","2020-01-17","620350"
"A Long Way Down (Foil)","0","0","6","0","67.64","67.64","11.27","0.11","99.0","0.24","0.25","3","0.29","2020-01-17","856990"
"A Long Way Down","0","0","6","0","0.65","0.65","0.11","0.11","0.0","0.24","0.25","25","0.29","2020-01-17","856990"
"Time Warpers (Foil)","0","0","5","0","10.45","10.45","2.09","0.09","95.7","0.12","0.15","7","0.31","2020-01-16","676500"
"HENTAI SNIPER: Middle East (Foil)","0","0","7","0","10.03","10.03","1.43","0.05","96.5","0.04","0.05","5","0.24","2020-01-16","1190110"
"Time Warpers","0","0","5","0","0.62","0.62","0.12","0.09","25.0","0.12","0.15","33","0.31","2020-01-16","676500"
"HENTAI SNIPER: Middle East","0","0","7","0","0.52","0.52","0.07","0.05","28.6","0.04","0.05","90","0.24","2020-01-16","1190110"
"Riskers (Foil)","0","0","6","0","37.21","37.21","6.20","0.17","97.3","0.47","0.53","3","0.18","2020-01-16","581310"
"Riskers","0","0","6","0","0.43","0.43","0.07","0.17","-142.9","0.47","0.53","30","0.18","2020-01-16","581310"
"Grayland (Foil)","0","0","6","0","185.32","185.32","30.89","0.93","97.0","3.86","1.53","3","0.60","2020-01-16","297190"
"Grayland","0","0","6","0","1.38","1.38","0.23","0.93","-304.3","3.86","1.53","27","0.60","2020-01-16","297190"
"Fight'N Rage (Foil)","0","0","5","0","1.39","1.39","0.28","0.05","82.1","0.05","0.04","17","0.18","2020-01-16","674520"
"Fight'N Rage","0","0","5","0","0.35","0.35","0.07","0.05","28.6","0.05","0.04","181","0.18","2020-01-16","674520"
"Wizardry: Labyrinth of Lost Souls (Foil)","0","0","7","0","53.63","53.63","7.66","0.31","96.0","0.82","1.64","4","0.24","2020-01-15","948640"
"ScourgeBringer (Foil)","0","0","6","0","7.00","7.00","1.17","0.10","91.5","1.43","0.18","10","0.18","2020-01-15","1037020"
"Lightmatter (Foil)","0","0","5","0","0.88","0.88","0.18","0.06","66.7","0.05","0.05","29","0.18","2020-01-15","994140"
"Wizardry: Labyrinth of Lost Souls","0","0","7","0","0.51","0.51","0.07","0.31","-342.9","0.82","1.64","38","0.24","2020-01-15","948640"
"Lightmatter","0","0","5","0","0.34","0.34","0.07","0.06","14.3","0.05","0.05","190","0.18","2020-01-15","994140"
"ScourgeBringer","0","0","6","0","0.39","0.39","0.07","0.10","-42.9","1.43","0.18","106","0.18","2020-01-15","1037020"
"ROMANCE OF THE THREE KINGDOMS XIV (Foil)","0","0","9","0","33.50","33.50","3.72","0.16","95.7","0.08","0.88","13","0.22","2020-01-15","872410"
"ROMANCE OF THE THREE KINGDOMS XIV","0","0","9","0","0.48","0.48","0.05","0.16","-220.0","0.08","0.88","182","0.22","2020-01-15","872410"
"The Story of Henry Bishop (Foil)","0","0","13","0","107.08","107.08","8.24","0.25","97.0","0.36","0.12","3","0.37","2020-01-15","1116230"
"Survive on Raft (Foil)","0","0","10","0","41.48","41.48","4.15","0.16","96.1","1.51","1.39","4","0.43","2020-01-15","1094000"
"Survive on Raft","0","0","10","0","0.95","0.95","0.10","0.16","-60.0","1.51","1.39","49","0.43","2020-01-15","1094000"
"The Story of Henry Bishop","0","0","13","0","0.77","0.77","0.06","0.25","-316.7","0.36","0.12","49","0.37","2020-01-15","1116230"
"ANIME - World War II (Foil)","0","0","7","0","85.84","85.84","12.26","0.10","99.2","0.47","0.12","5","0.38","2020-01-13","1159640"
"ANIME - World War II","0","0","7","0","0.76","0.76","0.11","0.10","9.1","0.47","0.12","40","0.38","2020-01-13","1159640"
"Endless Fables 4: Shadow Within (Foil)","0","0","5","0","19.67","19.67","3.93","0.41","89.6","0.47","0.37","2","0.21","2020-01-12","1129030"
"Endless Fables 4: Shadow Within","0","0","5","0","0.40","0.40","0.08","0.41","-412.5","0.47","0.37","47","0.21","2020-01-12","1129030"
"Zup! 9 (Foil)","0","0","6","0","2.42","2.42","0.40","0.08","80.0","0.03","0.96","17","0.31","2020-01-12","1098340"
"Zup! 9","0","0","6","0","0.70","0.70","0.12","0.08","33.3","0.03","0.96","143","0.31","2020-01-12","1098340"
"Seek Girl Ⅱ (Foil)","0","0","6","0","2.96","2.96","0.49","0.05","89.8","0.08","0.14","14","0.18","2020-01-10","1149660"
"Seek Girl Ⅲ (Foil)","0","0","6","0","1.43","1.43","0.24","0.05","79.2","0.04","0.08","22","0.18","2020-01-10","1191210"
"Lost (Foil)","0","0","6","0","1.26","1.26","0.21","0.04","81.0","0.04","0.05","26","0.18","2020-01-10","1126290"
"Lost","0","0","6","0","0.41","0.41","0.07","0.04","42.9","0.04","0.05","529","0.18","2020-01-10","1126290"
"Seek Girl Ⅱ","0","0","6","0","0.43","0.43","0.07","0.05","28.6","0.08","0.14","261","0.18","2020-01-10","1149660"
"Seek Girl Ⅲ","0","0","6","0","0.42","0.42","0.07","0.05","28.6","0.04","0.08","319","0.18","2020-01-10","1191210"
"SUPER ROBOT WARS X (Foil)","0","0","7","0","36.32","36.32","5.19","0.31","94.0","0.30","0.47","3","0.38","2020-01-09","1031510"
"Star Vikings Forever (Foil)","0","0","6","0","3.83","3.83","0.64","0.04","93.8","0.03","0.03","8","0.16","2020-01-09","488960"
"SUPER ROBOT WARS X","0","0","7","0","0.80","0.80","0.11","0.31","-181.8","0.30","0.47","50","0.38","2020-01-09","1031510"
"Star Vikings Forever","0","0","6","0","0.35","0.35","0.06","0.04","33.3","0.03","0.03","49","0.16","2020-01-09","488960"
"Legends of Amberland (Foil)","0","0","15","0","279.43","279.43","18.63","N/A","0.0","6.04","0.27","1","0.70","2020-01-08","873890"
"Car Demolition Clicker (Foil)","0","0","8","0","25.29","25.29","3.16","0.04","98.7","0.09","0.05","4","0.21","2020-01-08","705740"
"Legends of Amberland","0","0","15","0","1.49","1.49","0.10","N/A","0.0","6.04","0.27","19","0.70","2020-01-08","873890"
"Car Demolition Clicker","0","0","8","0","0.48","0.48","0.06","0.04","33.3","0.09","0.05","28","0.21","2020-01-08","705740"
"Devil's Hunt (Foil)","0","0","9","0","13.19","13.19","1.47","0.03","98.0","0.36","0.29","7","0.22","2020-01-08","887720"
"Devil's Hunt","0","0","9","0","0.43","0.43","0.05","0.03","40.0","0.36","0.29","122","0.22","2020-01-08","887720"
"Cockwork Industries Complete (Foil)","0","0","8","0","21.18","21.18","2.65","0.12","95.5","1.95","0.59","7","0.35","2020-01-07","1172940"
"Cockwork Industries Complete","0","0","8","0","0.78","0.78","0.10","0.12","-20.0","1.95","0.59","135","0.35","2020-01-07","1172940"
"Devolver Bootleg (Foil)","0","0","8","0","26.94","26.94","3.37","0.07","97.9","0.05","0.70","5","0.24","2020-01-07","1066260"
"Devolver Bootleg","0","0","8","0","0.55","0.55","0.07","0.07","0.0","0.05","0.70","59","0.24","2020-01-07","1066260"
"Endless World Idle RPG (Foil)","0","0","7","0","22.82","22.82","3.26","0.16","95.1","0.23","0.08","8","0.35","2020-01-06","840260"
"Endless World Idle RPG","0","0","7","0","0.71","0.71","0.10","0.16","-60.0","0.23","0.08","91","0.35","2020-01-06","840260"
"Mutazione (Foil)","0","0","15","0","141.96","141.96","9.46","0.12","98.7","1.05","0.12","4","0.49","2020-01-05","1080750"
"Mutazione","0","0","15","0","1.03","1.03","0.07","0.12","-71.4","1.05","0.12","41","0.49","2020-01-05","1080750"
"Inunaki Tunnel | 犬鳴トンネル (Foil)","0","0","5","0","11.78","11.78","2.36","0.20","91.5","2.13","0.22","4","0.42","2020-01-03","1185160"
"Inunaki Tunnel | 犬鳴トンネル","0","0","5","0","0.80","0.80","0.16","0.20","-25.0","2.13","0.22","31","0.42","2020-01-03","1185160"
"BEARS, VODKA, BALALAIKA! 🐻 (Foil)","0","0","8","0","15.46","15.46","1.93","0.05","97.4","0.88","0.47","6","0.42","2020-01-03","1129220"
"BEARS, VODKA, BALALAIKA! 🐻","0","0","8","0","0.98","0.98","0.12","0.05","58.3","0.88","0.47","43","0.42","2020-01-03","1129220"
"World of DASM: DASM Spell Quest (Foil)","0","0","9","0","226.22","226.22","25.14","0.13","99.5","1.10","1.19","1","0.65","2020-01-02","543910"
"Roah (Foil)","0","0","5","0","62.22","62.22","12.44","613.52","-4,831.8","1.16","0.20","1","0.37","2020-01-02","628320"
"World of DASM: DASM Spell Quest","0","0","9","0","1.35","1.35","0.15","0.13","13.3","1.10","1.19","19","0.65","2020-01-02","543910"
"Roah","0","0","5","0","0.72","0.72","0.14","613.52","-438,128.6","1.16","0.20","9","0.37","2020-01-02","628320"
"Mittelborg (Foil)","0","0","7","0","134.78","134.78","19.25","0.16","99.2","1.08","1.79","3","0.35","2019-12-29","956060"
"Mittelborg","0","0","7","0","0.72","0.72","0.10","0.16","-60.0","1.08","1.79","26","0.35","2019-12-29","956060"
"Pretty Angel (Foil)","0","0","5","0","2.65","2.65","0.53","0.07","86.8","0.05","0.23","16","0.23","2019-12-29","1148510"
"Pretty Angel","0","0","5","0","0.45","0.45","0.09","0.07","22.2","0.05","0.23","325","0.23","2019-12-29","1148510"
"DJMAX RESPECT V (Foil)","0","0","9","0","12.26","12.26","1.36","0.13","90.4","0.44","0.06","32","0.48","2019-12-26","960170"
"Taboos: Cracks (Foil)","0","0","6","0","5.27","5.27","0.88","0.14","84.1","0.06","0.37","11","0.23","2019-12-26","1060670"
"DJMAX RESPECT V","0","0","9","0","1.01","1.01","0.11","0.13","-18.2","0.44","0.06","259","0.48","2019-12-26","960170"
"Taboos: Cracks","0","0","6","0","0.51","0.51","0.09","0.14","-55.6","0.06","0.37","165","0.23","2019-12-26","1060670"
"Plutocracy (Foil)","0","0","6","0","156.34","156.34","26.06","0.17","99.3","0.40","0.36","4","0.37","2019-12-25","754500"
"Plutocracy","0","0","6","0","0.85","0.85","0.14","0.17","-21.4","0.40","0.36","32","0.37","2019-12-25","754500"
"Deep Diving Simulator (Foil)","0","0","9","0","146.15","146.15","16.24","0.18","98.9","1.79","1.67","2","0.39","2019-12-23","990030"
"Pulstario (Foil)","0","0","6","0","87.02","87.02","14.50","0.20","98.6","0.88","0.39","2","0.39","2019-12-23","1188000"
"Pulstario","0","0","6","0","0.89","0.89","0.15","0.20","-33.3","0.88","0.39","15","0.39","2019-12-23","1188000"
"Deep Diving Simulator","0","0","9","0","0.85","0.85","0.09","0.18","-100.0","1.79","1.67","25","0.39","2019-12-23","990030"
"After All (Foil)","0","0","9","0","58.48","58.48","6.50","0.03","99.5","0.20","0.07","4","0.22","2019-12-23","365110"
"After All","0","0","9","0","0.46","0.46","0.05","0.03","40.0","0.20","0.07","76","0.22","2019-12-23","365110"
"STAR WARS Jedi: Fallen Order™  (Foil)","0","0","6","0","10.12","10.12","1.69","0.16","90.5","0.06","0.06","95","0.44","2019-12-19","1172380"
"STAR WARS Jedi: Fallen Order™","0","0","6","0","1.00","1.00","0.17","0.16","5.9","0.06","0.06","1072","0.44","2019-12-19","1172380"
"GENSOU Skydrift (Foil)","0","0","10","0","274.08","274.08","27.41","0.20","99.3","0.18","0.41","5","0.43","2019-12-19","1065260"
"Hentai Girl Fantasy (Foil)","0","0","5","0","2.39","2.39","0.48","0.07","85.4","0.03","0.06","16","0.26","2019-12-19","1146950"
"GENSOU Skydrift","0","0","10","0","1.01","1.01","0.10","0.20","-100.0","0.18","0.41","49","0.43","2019-12-19","1065260"
"Hentai Girl Fantasy","0","0","5","0","0.50","0.50","0.10","0.07","30.0","0.03","0.06","431","0.26","2019-12-19","1146950"
"World War Zero (Foil)","0","0","6","0","98.25","98.25","16.38","N/A","0.0","0.24","1.62","3","0.44","2019-12-18","1103800"
"Franchise Hockey Manager 6 (Foil)","0","0","15","0","29.12","29.12","1.94","0.13","93.3","0.47","1.73","4","0.42","2019-12-18","1087270"
"World War Zero","0","0","6","0","1.02","1.02","0.17","N/A","0.0","0.24","1.62","14","0.44","2019-12-18","1103800"
"Franchise Hockey Manager 6","0","0","15","0","0.89","0.89","0.06","0.13","-116.7","0.47","1.73","63","0.42","2019-12-18","1087270"
"The Executioner (Foil)","0","0","6","0","77.15","77.15","12.86","0.24","98.1","4.18","0.23","4","0.18","2019-12-18","739130"
"The Executioner","0","0","6","0","0.40","0.40","0.07","0.24","-242.9","4.18","0.23","31","0.18","2019-12-18","739130"
"Retimed (Foil)","0","0","8","0","37.36","37.36","4.67","0.05","98.9","3.75","1.02","3","0.24","2019-12-17","760810"
"Retimed","0","0","8","0","0.57","0.57","0.07","0.05","28.6","3.75","1.02","26","0.24","2019-12-17","760810"
"Pato Box (Foil)","0","0","5","0","78.82","78.82","15.76","0.20","98.7","2.73","0.87","3","0.18","2019-12-17","682080"
"AVICII Invector (Foil)","0","0","9","0","11.65","11.65","1.29","0.14","89.1","0.97","0.21","10","0.48","2019-12-17","986800"
"AVICII Invector","0","0","9","0","0.98","0.98","0.11","0.14","-27.3","0.97","0.21","77","0.48","2019-12-17","986800"
"Pato Box","0","0","5","0","0.37","0.37","0.07","0.20","-185.7","2.73","0.87","26","0.18","2019-12-17","682080"
"Free Running (Foil)","0","0","6","0","130.66","130.66","21.78","N/A","0.0","2.42","0.94","1","0.29","2019-12-16","254940"
"The Alliance Alive HD Remastered (Foil)","0","0","12","0","144.46","144.46","12.04","N/A","0.0","0.91","1.73","3","0.47","2019-12-16","1027250"
"Free Running","0","0","6","0","0.67","0.67","0.11","N/A","0.0","2.42","0.94","17","0.29","2019-12-16","254940"
"The Alliance Alive HD Remastered","0","0","12","0","1.07","1.07","0.09","N/A","0.0","0.91","1.73","22","0.47","2019-12-16","1027250"
"Omega Labyrinth Life (Foil)","0","0","7","0","212.53","212.53","30.36","0.20","99.3","0.27","0.84","3","0.45","2019-12-16","1163600"
"EARTH DEFENSE FORCE: IRON RAIN (Foil)","0","0","6","0","26.55","26.55","4.42","0.15","96.6","0.74","0.22","5","0.23","2019-12-16","1039890"
"Omega Labyrinth Life","0","0","7","0","0.94","0.94","0.13","0.20","-53.8","0.27","0.84","31","0.45","2019-12-16","1163600"
"EARTH DEFENSE FORCE: IRON RAIN","0","0","6","0","0.55","0.55","0.09","0.15","-66.7","0.74","0.22","47","0.23","2019-12-16","1039890"
"The Princess, the Stray Cat, and Matters of the Heart 2 (Foil)","0","0","10","0","19.57","19.57","1.96","0.14","92.9","0.39","1.95","4","0.65","2019-12-16","1128260"
"The Princess, the Stray Cat, and Matters of the Heart 2","0","0","10","0","1.45","1.45","0.15","0.14","6.7","0.39","1.95","29","0.65","2019-12-16","1128260"
"Sayonara Wild Hearts (Foil)","0","0","6","0","11.09","11.09","1.85","0.20","89.2","0.32","0.10","13","0.31","2019-12-14","1122720"
"Sayonara Wild Hearts","0","0","6","0","0.74","0.74","0.12","0.20","-66.7","0.32","0.10","115","0.31","2019-12-14","1122720"
"Counter Terrorist Agency (Foil)","0","0","7","0","128.03","128.03","18.29","0.22","98.8","1.21","0.60","4","0.28","2019-12-13","936490"
"Counter Terrorist Agency","0","0","7","0","0.58","0.58","0.08","0.22","-175.0","1.21","0.60","55","0.28","2019-12-13","936490"
"奇迹一刻 Surmount (Foil)","0","0","8","0","26.05","26.05","3.26","0.17","94.8","1.51","0.47","4","0.35","2019-12-13","1089630"
"奇迹一刻 Surmount","0","0","8","0","0.80","0.80","0.10","0.17","-70.0","1.51","0.47","41","0.35","2019-12-13","1089630"
"MagiCat (Foil)","0","0","8","0","10.13","10.13","1.27","0.03","97.6","0.18","0.10","8","0.21","2019-12-12","656970"
"MagiCat","0","0","8","0","0.44","0.44","0.06","0.03","50.0","0.18","0.10","86","0.21","2019-12-12","656970"
"X-Team (Foil)","0","0","10","0","81.65","81.65","8.16","N/A","0.0","2.40","0.92","1","0.48","2019-12-12","290850"
"X-Team","0","0","10","0","1.09","1.09","0.11","N/A","0.0","2.40","0.92","15","0.48","2019-12-12","290850"
"Virgo Versus the Zodiac (Foil)","0","0","5","0","13.17","13.17","2.63","0.36","86.3","0.36","0.17","7","0.34","2019-12-12","920320"
"Virgo Versus the Zodiac","0","0","5","0","0.66","0.66","0.13","0.36","-176.9","0.36","0.17","29","0.34","2019-12-12","920320"
"Dragon Star Varnir (Foil)","0","0","6","0","58.84","58.84","9.81","N/A","0.0","0.07","0.22","4","0.23","2019-12-11","1062040"
"Dragon Star Varnir","0","0","6","0","0.54","0.54","0.09","N/A","0.0","0.07","0.22","44","0.23","2019-12-11","1062040"
"DRAGON QUEST BUILDERS™ 2 (Foil)","0","0","5","0","10.49","10.49","2.10","0.13","93.8","0.66","0.06","16","0.31","2019-12-11","1072420"
"DRAGON QUEST BUILDERS™ 2","0","0","5","0","0.59","0.59","0.12","0.13","-8.3","0.66","0.06","169","0.31","2019-12-11","1072420"
"Vampire: The Masquerade - Coteries of New York (Foil)","0","0","8","0","4.83","4.83","0.60","0.13","78.3","0.10","0.05","25","0.17","2019-12-11","1096410"
"Zup! F (Foil)","0","0","5","0","2.59","2.59","0.52","0.14","73.1","0.06","1.32","20","0.50","2019-12-11","601220"
"Zup! F","0","0","5","0","0.96","0.96","0.19","0.14","26.3","0.06","1.32","121","0.50","2019-12-11","601220"
"Vampire: The Masquerade - Coteries of New York","0","0","8","0","0.40","0.40","0.05","0.13","-160.0","0.10","0.05","301","0.17","2019-12-11","1096410"
"Two Worlds II HD - Shattered Embrace (Foil)","0","0","6","0","2.59","2.59","0.43","0.08","81.4","0.05","0.03","35","0.21","2019-12-10","578990"
"Two Worlds II HD - Shattered Embrace","0","0","6","0","0.46","0.46","0.08","0.08","0.0","0.05","0.03","792","0.21","2019-12-10","578990"
"Omen Exitio: Plague (Foil)","0","0","8","0","417.72","417.72","52.22","0.07","99.9","1.49","0.13","4","0.24","2019-12-10","668590"
"Super Monkey Ball: Banana Blitz HD (Foil)","0","0","7","0","70.70","70.70","10.10","1.17","88.4","3.47","1.27","3","0.52","2019-12-10","1061730"
"STEINS;GATE: My Darling's Embrace (Foil)","0","0","8","0","24.84","24.84","3.11","0.12","96.1","0.21","1.33","9","0.45","2019-12-10","970560"
"Ashen (Foil)","0","0","9","0","7.28","7.28","0.81","0.08","90.1","0.07","0.07","10","0.22","2019-12-10","649950"
"Hurtworld (Foil)","0","0","5","0","0.84","0.84","0.17","0.04","76.5","0.05","0.05","24","0.18","2019-12-10","393420"
"Super Monkey Ball: Banana Blitz HD","0","0","7","0","1.06","1.06","0.15","1.17","-680.0","3.47","1.27","34","0.52","2019-12-10","1061730"
"STEINS;GATE: My Darling's Embrace","0","0","8","0","1.04","1.04","0.13","0.12","7.7","0.21","1.33","67","0.45","2019-12-10","970560"
"Omen Exitio: Plague","0","0","8","0","0.57","0.57","0.07","0.07","0.0","1.49","0.13","39","0.24","2019-12-10","668590"
"Hurtworld","0","0","5","0","0.37","0.37","0.07","0.04","42.9","0.05","0.05","259","0.18","2019-12-10","393420"
"Ashen","0","0","9","0","0.46","0.46","0.05","0.08","-60.0","0.07","0.07","128","0.22","2019-12-10","649950"
"SD GUNDAM G GENERATION CROSS RAYS (Foil)","0","0","6","0","82.02","82.02","13.67","0.18","98.7","0.14","0.07","6","0.34","2019-12-10","728530"
"Queen's Quest 5: Symphony of Death (Foil)","0","0","5","0","39.63","39.63","7.93","N/A","0.0","0.12","0.09","5","0.21","2019-12-10","1089660"
"Uncharted Tides: Port Royal (Foil)","0","0","5","0","25.33","25.33","5.07","N/A","0.0","0.14","0.65","2","0.26","2019-12-10","1113780"
"SD GUNDAM G GENERATION CROSS RAYS","0","0","6","0","0.78","0.78","0.13","0.18","-38.5","0.14","0.07","169","0.34","2019-12-10","728530"
"Uncharted Tides: Port Royal","0","0","5","0","0.49","0.49","0.10","N/A","0.0","0.14","0.65","36","0.26","2019-12-10","1113780"
"Queen's Quest 5: Symphony of Death","0","0","5","0","0.38","0.38","0.08","N/A","0.0","0.12","0.09","52","0.21","2019-12-10","1089660"
"Natsu no Iro no Nostalgia (Foil)","0","0","8","0","62.46","62.46","7.81","0.17","97.8","0.08","1.36","4","0.45","2019-12-10","1161190"
"Natsu no Iro no Nostalgia","0","0","8","0","1.01","1.01","0.13","0.17","-30.8","0.08","1.36","30","0.45","2019-12-10","1161190"
"Blaster Master Zero 2 (Foil)","0","0","11","0","208.69","208.69","18.97","0.13","99.3","0.64","1.02","2","0.63","2019-12-08","1034910"
"Blaster Master Zero 2","0","0","11","0","1.34","1.34","0.12","0.13","-8.3","0.64","1.02","22","0.63","2019-12-08","1034910"
"PLAY WITH ME (Foil)","0","0","8","0","7.45","7.45","0.93","0.05","94.6","0.25","0.14","6","0.24","2019-12-07","725780"
"PLAY WITH ME","0","0","8","0","0.54","0.54","0.07","0.05","28.6","0.25","0.14","52","0.24","2019-12-07","725780"
"Killsquad (Foil)","0","0","8","0","4.12","4.12","0.52","0.06","88.5","0.05","0.09","16","0.17","2019-12-07","910490"
"Killsquad","0","0","8","0","0.43","0.43","0.05","0.06","-20.0","0.05","0.09","135","0.17","2019-12-07","910490"
"Darksiders Genesis (Foil)","0","0","7","0","3.39","3.39","0.48","0.04","91.7","0.05","0.05","39","0.21","2019-12-06","710920"
"Darksiders Genesis","0","0","7","0","0.42","0.42","0.06","0.04","33.3","0.05","0.05","388","0.21","2019-12-06","710920"
"Nauticrawl (Foil)","0","0","5","0","26.92","26.92","5.38","1.67","69.0","1.21","1.11","4","0.26","2019-12-04","922100"
"Nauticrawl","0","0","5","0","0.52","0.52","0.10","1.67","-1,570.0","1.21","1.11","28","0.26","2019-12-04","922100"
"Heroland (Foil)","0","0","6","0","81.93","81.93","13.66","0.80","94.1","0.52","1.45","1","0.47","2019-12-03","1066030"
"Halo: The Master Chief Collection (Foil)","0","0","6","0","11.75","11.75","1.96","0.14","92.9","0.05","0.06","158","0.39","2019-12-03","976730"
"Heroland","0","0","6","0","1.05","1.05","0.18","0.80","-344.4","0.52","1.45","11","0.47","2019-12-03","1066030"
"Halo: The Master Chief Collection","0","0","6","0","0.87","0.87","0.15","0.14","6.7","0.05","0.06","2635","0.39","2019-12-03","976730"
"Iratus: Lord of the Dead (Foil)","0","0","6","0","2.60","2.60","0.43","0.06","86.0","0.19","0.05","32","0.16","2019-11-29","807120"
"Iratus: Lord of the Dead","0","0","6","0","0.36","0.36","0.06","0.06","0.0","0.19","0.05","194","0.16","2019-11-29","807120"
"Beat Hazard 2 (Foil)","0","0","5","0","1.04","1.04","0.21","0.05","76.2","0.03","0.03","29","0.21","2019-11-29","618740"
"Beat Hazard 2","0","0","5","0","0.38","0.38","0.08","0.05","37.5","0.03","0.03","156","0.21","2019-11-29","618740"
"Stigmatized Property | 事故物件 (Foil)","0","0","9","0","71.01","71.01","7.89","0.20","97.5","4.47","0.35","4","0.52","2019-11-28","1162680"
"Princess & Conquest (Foil)","0","0","8","0","46.71","46.71","5.84","0.13","97.8","0.24","0.05","11","0.42","2019-11-28","1083880"
"Stigmatized Property | 事故物件","0","0","9","0","1.06","1.06","0.12","0.20","-66.7","4.47","0.35","36","0.52","2019-11-28","1162680"
"Princess & Conquest","0","0","8","0","0.96","0.96","0.12","0.13","-8.3","0.24","0.05","115","0.42","2019-11-28","1083880"
"The Pit: Infinity (Foil)","0","0","6","0","9.98","9.98","1.66","0.08","95.2","1.02","0.06","5","0.18","2019-11-28","577410"
"The Pit: Infinity","0","0","6","0","0.42","0.42","0.07","0.08","-14.3","1.02","0.06","33","0.18","2019-11-28","577410"
"Nowhere Prophet (Foil)","0","0","7","0","10.60","10.60","1.51","0.13","91.4","0.65","0.48","3","0.24","2019-11-27","681730"
"Nowhere Prophet","0","0","7","0","0.46","0.46","0.07","0.13","-85.7","0.65","0.48","62","0.24","2019-11-27","681730"
"Lovekami -Healing Harem- (Foil)","0","0","6","0","4.05","4.05","0.67","0.06","91.0","0.08","0.15","9","0.16","2019-11-27","938270"
"Lovekami -Healing Harem-","0","0","6","0","0.36","0.36","0.06","0.06","0.0","0.08","0.15","160","0.16","2019-11-27","938270"
"Glorch's Great Escape: Walking is for Chumps (Foil)","0","0","6","0","70.21","70.21","11.70","0.18","98.5","2.76","0.04","3","0.94","2019-11-26","549790"
"Glorch's Great Escape: Walking is for Chumps","0","0","6","0","2.16","2.16","0.36","0.18","50.0","2.76","0.04","12","0.94","2019-11-26","549790"
"Devil Slayer - Raksasi / 斩妖Raksasi (Foil)","0","0","11","0","650.88","650.88","59.17","0.14","99.8","2.41","0.28","5","0.42","2019-11-26","1016600"
"Devil Slayer - Raksasi / 斩妖Raksasi","0","0","11","0","0.86","0.86","0.08","0.14","-75.0","2.41","0.28","62","0.42","2019-11-26","1016600"
"Oik 3 (Foil)","0","0","8","0","1.59","1.59","0.20","0.06","70.0","0.06","0.59","12","0.28","2019-11-25","655100"
"Oik 3","0","0","8","0","0.63","0.63","0.08","0.06","25.0","0.06","0.59","55","0.28","2019-11-25","655100"
"Age of Empires II: Definitive Edition (Foil)","0","0","9","0","1.78","1.78","0.20","0.05","75.0","0.05","0.05","134","0.26","2019-11-25","813780"
"Age of Empires II: Definitive Edition","0","0","9","0","0.54","0.54","0.06","0.05","16.7","0.05","0.05","5166","0.26","2019-11-25","813780"
"Hentai Girl Division (Foil)","0","0","5","0","4.47","4.47","0.89","0.09","89.9","0.03","0.23","18","0.21","2019-11-23","1113680"
"Hentai Girl Division","0","0","5","0","0.40","0.40","0.08","0.09","-12.5","0.03","0.23","160","0.21","2019-11-23","1113680"
"Lost Ember (Foil)","0","0","16","0","37.81","37.81","2.36","0.08","96.6","0.41","0.16","9","0.49","2019-11-22","563840"
"Lost Ember","0","0","16","0","1.10","1.10","0.07","0.08","-14.3","0.41","0.16","122","0.49","2019-11-22","563840"
"Railroad Corporation (Foil)","0","0","5","0","57.53","57.53","11.51","0.42","96.4","0.29","0.15","3","0.21","2019-11-22","797400"
"WARSAW (Foil)","0","0","10","0","3.88","3.88","0.39","0.04","89.7","0.06","0.03","15","0.22","2019-11-22","1026420"
"Still There (Foil)","0","0","5","0","1.21","1.21","0.24","0.05","79.2","0.06","0.03","15","0.16","2019-11-22","1063490"
"Railroad Corporation","0","0","5","0","0.38","0.38","0.08","0.42","-425.0","0.29","0.15","97","0.21","2019-11-22","797400"
"Still There","0","0","5","0","0.32","0.32","0.06","0.05","16.7","0.06","0.03","149","0.16","2019-11-22","1063490"
"Serial Cleaner (Foil)","0","0","6","0","0.38","0.38","0.06","0.03","50.0","0.03","0.03","66","0.13","2019-11-22","522210"
"WARSAW","0","0","10","0","0.48","0.48","0.05","0.04","20.0","0.06","0.03","254","0.22","2019-11-22","1026420"
"Serial Cleaner","0","0","6","0","0.31","0.31","0.05","0.03","40.0","0.03","0.03","1584","0.13","2019-11-22","522210"
"Terminator: Resistance (Foil)","0","0","6","0","19.69","19.69","3.28","0.17","94.8","0.57","0.44","13","0.39","2019-11-22","954740"
